Código EAN,Produto,Categoria 1,Categoria 2
7897750793763,"ESPONJA ALKLIN DUPLA-FACE C/4 ANTIRRISCO","LIMPEZA","UTILITARIOS PARA O LAR"
7897750778944,"ESPONJA ALKLIN SALVA UNHAS C/1","LIMPEZA","UTILITARIOS PARA O LAR"
7896021620470,"ESPONJA ANTIADERENTE LIMPPANO C/1UN","LIMPEZA","UTILITARIOS PARA O LAR"
7891022100976,"ESPONJA BOMBRIL ANTIADERENTE 1X1UND","LIMPEZA","UTILITARIOS PARA O LAR"
7891022861600,"ESPONJA BOMBRIL INOX BRILHO 1X16G","LIMPEZA","UTILITARIOS PARA O LAR"
7891022100938,"ESPONJA BOMBRIL MULTIUSO 1X1UND","LIMPEZA","UTILITARIOS PARA O LAR"
7891022860535,"ESPONJA BOMBRIL MULTIUSO C/10UN","LIMPEZA","UTILITARIOS PARA O LAR"
7891022859812,"ESPONJA BOMBRIL MULTIUSO L4 PG3 PROMO 1X4UND","LIMPEZA","UTILITARIOS PARA O LAR"
7896001045149,"ESPONJA BRILHUS MULT L4P3","LIMPEZA","UTILITARIOS PARA O LAR"
7896025532311,"ESPONJA CASA MIA LIMPEZA DELICATA 1X1UND","LIMPEZA","UTILITARIOS PARA O LAR"
7891055226308,"ESPONJA CONDOR AUTOMOTIVA 1UND","LIMPEZA","UTILITARIOS PARA O LAR"
7891055228500,"ESPONJA CONDOR DELIC 1UND R.1532","LIMPEZA","UTILITARIOS PARA O LAR"
7891055784709,"ESPONJA CONDOR L.BANHEIRO 1UND R.1538","LIMPEZA","UTILITARIOS PARA O LAR"
7891055784501,"ESPONJA CONDOR L.EXTREMA 1UND R.1552","LIMPEZA","UTILITARIOS PARA O LAR"
7891055228401,"ESPONJA CONDOR M.USO R.1531","LIMPEZA","UTILITARIOS PARA O LAR"
7891055605806,"ESPONJA CONDOR MULTUSO L4P3","LIMPEZA","UTILITARIOS PARA O LAR"
17891055787103,"ESPONJA CONDOR MULTUSO L4P3","LIMPEZA","UTILITARIOS PARA O LAR"
7891055596609,"ESPONJA CONDOR PROT.UNHA 1UND R.1537","LIMPEZA","UTILITARIOS PARA O LAR"
7891022101003,"ESPONJA DE ACO BOMBRIL PCT 8un","LIMPEZA","UTILITARIOS PARA O LAR"
7891022101119,"ESPONJA DE ACO BOMBRIL PCT 8un","LIMPEZA","UTILITARIOS PARA O LAR"
7891022855029,"ESPONJA DE ACO BOMBRIL PCT 8un","LIMPEZA","UTILITARIOS PARA O LAR"
7891022867893,"ESPONJA DE ACO BOMBRIL PCT 8un","LIMPEZA","UTILITARIOS PARA O LAR"
7891022868036,"ESPONJA DE ACO BOMBRIL PCT 8un","LIMPEZA","UTILITARIOS PARA O LAR"
7898008425061,"ESPONJA DE ACO COM PEGADOR MESTRE","LIMPEZA","UTILITARIOS PARA O LAR"
7891022865004,"ESPONJA DE ACO QLUSTRO 40G C/ 6UND","LIMPEZA","UTILITARIOS PARA O LAR"
7891022865080,"ESPONJA DE ACO QLUSTRO 40G C/ 6UND","LIMPEZA","UTILITARIOS PARA O LAR"
7898032680894,"ESPONJA DE ACO SAMPA CLEAN","LIMPEZA","UTILITARIOS PARA O LAR"
7896189200514,"ESPONJA DE LIMPEZA PROAUTO UND","LIMPEZA","PRODUTOS AUTOMOTIVOS"
7896001004856,"ESPONJA ESFREBOM INOX","LIMPEZA","UTILITARIOS PARA O LAR"
7896001004504,"ESPONJA ESFREBOM MULTIUSO","LIMPEZA","UTILITARIOS PARA O LAR"
7896001004528,"ESPONJA ESFREBOM PROTEGE UNHAS","LIMPEZA","UTILITARIOS PARA O LAR"
17896001004525,"ESPONJA ESFREBOM PROTEGE UNHAS","LIMPEZA","UTILITARIOS PARA O LAR"
7896314707758,"ESPONJA ESFRELUX ANTIADERENTE L4P3","LIMPEZA","UTILITARIOS PARA O LAR"
7896314707659,"ESPONJA ESFRELUX MULT L4P3","LIMPEZA","UTILITARIOS PARA O LAR"
7896314707772,"ESPONJA ESFRELUX PROT UNHAS C/1","LIMPEZA","UTILITARIOS PARA O LAR"
7897753601409,"ESPONJA FLASHLIMP INOX LIMP PESADA","LIMPEZA","UTILITARIOS PARA O LAR"
7897753690823,"ESPONJA FLASHLIMP MICROF C/1 M","LIMPEZA","UTILITARIOS PARA O LAR"
